MazeID,StepSize,SideLength,Coordinates
Maze_1,0.5,1.5,0 0.75*0.5 0.75*0.5 0.25*1 0.25*1 0.75*1.5 0.75
Maze_2,0.5,1.5,0 0.75*0.5 0.75*0.5 1.25*1 1.25*1 0.75*1.5 0.75
Maze_3,0.5,1.5,0 0.75*0.5 0.75*1 0.75*1.5 0.75
Maze_4,0.5,2,0 1*0.5 1*1 1*1 1.5*1.5 1.5*1.5 1*2 1
Maze_5,0.5,2,0 1*0.5 1*0.5 1.5*1 1.5*1 1*1.5 1*2 1
Maze_6,0.5,2,0 1*0.5 1*0.5 1.5*1 1.5*1.5 1.5*1.5 1*2 1
Maze_7,0.5,2.5,0 1.25*0.5 1.25*0.5 0.75*0.5 0.25*1 0.25*1.5 0.25*1.5 0.75*1.5 1.25*2 1.25*2.5 1.25
Maze_8,0.5,2.5,0 1.25*0.5 1.25*0.5 0.75*0.5 0.25*1 0.25*1.5 0.25*1.5 0.75*1 0.75*1 1.25*1.5 1.25*2 1.25*2.5 1.25
Maze_9,0.5,2.5,0 1.25*0.5 1.25*1 1.25*1 1.75*1 2.25*1.5 2.25*1.5 1.75*2 1.75*2 1.25*2.5 1.25
Maze_10,0.5,3,0 1.5*0.5 1.5*0.5 2*1 2*1 1.5*1.5 1.5*1.5 1*1.5 0.5*2 0.5*2 1*2.5 1*2.5 1.5*3 1.5
Maze_11,0.5,3,0 1.5*0.5 1.5*0.5 1*1 1*1 1.5*1.5 1.5*1.5 2*1 2*1 2.5*1.5 2.5*2 2.5*2 2*2 1.5*2.5 1.5*3 1.5
Maze_12,0.5,3,0 1.5*0.5 1.5*0.5 2*0.5 2.5*1 2.5*1 2*1.5 2*1.5 1.5*1.5 1*1.5 0.5*2 0.5*2.5 0.5*2.5 1*2.5 1.5*3 1.5
Maze_13,0.5,3.5,0 1.75*0.5 1.75*1 1.75*1.5 1.75*1.5 2.25*2 2.25*2 2.75*2.5 2.75*3 2.75*3 2.25*3 1.75*3.5 1.75
Maze_14,0.5,3.5,0 1.75*0.5 1.75*0.5 1.25*1 1.25*1 0.75*1.5 0.75*2 0.75*2 0.25*2.5 0.25*2.5 0.75*3 0.75*3 1.25*3 1.75*3.5 1.75
Maze_15,0.5,3.5,0 1.75*0.5 1.75*0.5 1.25*0.5 0.75*1 0.75*1 0.25*1.5 0.25*2 0.25*2 0.75*2.5 0.75*2.5 0.25*3 0.25*3 0.75*3 1.25*3 1.75*3.5 1.75
Maze_16,0.5,4,0 2*0.5 2*0.5 2.5*1 2.5*1 2*1 1.5*0.5 1.5*0.5 1*0.5 0.5*1 0.5*1.5 0.5*2 0.5*2 1*2.5 1*3 1*3 1.5*2.5 1.5*2.5 2*2 2*2 1.5*1.5 1.5*1.5 2*1.5 2.5*1.5 3*1 3*0.5 3*0.5 3.5*1 3.5*1.5 3.5*2 3.5*2.5 3.5*2.5 3*2.5 2.5*3 2.5*3 2*3.5 2*4 2
Maze_17,0.5,4,0 2*0.5 2*0.5 1.5*0.5 1*0.5 0.5*1 0.5*1.5 0.5*2 0.5*2 1*2.5 1*2.5 0.5*3 0.5*3.5 0.5*3.5 1*3 1*3 1.5*3 2*3 2.5*3 3*3 3.5*3.5 3.5*3.5 3*3.5 2.5*3.5 2*4 2
Maze_18,0.5,4,0 2*0.5 2*0.5 1.5*0.5 1*1 1*1 0.5*1.5 0.5*2 0.5*2 1*2 1.5*1.5 1.5*1.5 2*1.5 2.5*1.5 3*2 3*2.5 3*2.5 3.5*3 3.5*3 3*3.5 3*3.5 2.5*3.5 2*4 2
