Simulation_Number,Maze_Name,Step_Size,Side_Length,Total_Length,Corner,Width,Height,Fillet_Radius,Pressure_Difference,Flow_Rate,Simulation_Resistance,Theoretical_Resistance
1,Maze_1,0.5,1.5,2.5,4,0.04,0.04,0.025,10,2.53583172174048,3.94347933826478,4.80732685810811
2,Maze_1,0.5,1.5,2.5,4,0.04,0.04,0.03,10,2.54806181904164,3.92455156514261,4.80732685810811
3,Maze_1,0.5,1.5,2.5,4,0.04,0.04,0.035,10,2.5636635243148,3.90066789387766,4.80732685810811
4,Maze_1,0.5,1.5,2.5,4,0.04,0.13,0.025,10,15.2936105922617,0.653867831907518,-0.0494653698958115
5,Maze_1,0.5,1.5,2.5,4,0.04,0.13,0.03,10,15.3523732252596,0.65136509211141,-0.0494653698958115
6,Maze_1,0.5,1.5,2.5,4,0.04,0.13,0.035,10,15.3599347920553,0.651044430551382,-0.0494653698958115
7,Maze_1,0.5,1.5,2.5,4,0.04,0.22,0.025,10,27.5359106199643,0.363162131734613,-0.00433710946489013
8,Maze_1,0.5,1.5,2.5,4,0.04,0.22,0.03,10,27.6426428219529,0.361759910744074,-0.00433710946489013
9,Maze_1,0.5,1.5,2.5,4,0.04,0.22,0.035,10,27.6340943820767,0.361871818983362,-0.00433710946489013
10,Maze_1,0.5,1.5,2.5,4,0.04,0.31,0.025,10,39.47429160833,0.253329435249188,-0.000984212334987189
11,Maze_1,0.5,1.5,2.5,4,0.04,0.31,0.03,10,39.6278284390902,0.252347917963016,-0.000984212334987189
12,Maze_1,0.5,1.5,2.5,4,0.04,0.31,0.035,10,39.6063712817829,0.252484630032227,-0.000984212334987189
13,Maze_1,0.5,1.5,2.5,4,0.04,0.4,0.025,10,51.2957654041027,0.194947865992856,-0.000335605837264151
14,Maze_1,0.5,1.5,2.5,4,0.04,0.4,0.03,10,51.4955911631302,0.194191381711136,-0.000335605837264151
15,Maze_1,0.5,1.5,2.5,4,0.04,0.4,0.035,10,51.4627359813112,0.194315358663238,-0.000335605837264151
16,Maze_1,0.5,1.5,2.5,4,0.082,0.04,0.05125,10,8.36701461720284,1.1951694191426,1.25261333626761
17,Maze_1,0.5,1.5,2.5,4,0.082,0.04,0.0615,10,8.58339321608404,1.16504041563207,1.25261333626761
18,Maze_1,0.5,1.5,2.5,4,0.082,0.04,0.07175,10,8.68754938882855,1.15107259279114,1.25261333626761
