train_or_test,Simulation_Number,Maze_Name,Step_Size,Side_Length,Total_Length,Corner,Width,Height,Fillet_Radius,Simulation_Resistance,Best_Model
train,9043,Maze_189,1.5,15.0,36.0,16,217.5,303.33333333333303,135.9375,0.0351099228912945,ExtraTreesRegressor
train,467,Maze_7,0.5,2.5,4.5,4,82.0,40.0,61.5,2.00690435076708,ExtraTreesRegressor
train,9751,Maze_131,1.5,16.5,25.5,10,50.0,50.0,31.25,16.147676419438,ExtraTreesRegressor
train,8457,Maze_113,1.5,10.5,22.5,8,200.0,200.0,175.0,0.0558624107449364,ExtraTreesRegressor
train,2208,Maze_30,0.75,3.0,3.0,0,174.0,40.0,0.0,0.609304599927555,ExtraTreesRegressor
train,4409,Maze_92,1.0,5.0,13.0,10,385.0,283.333333333333,288.75,0.0045252420016327,ExtraTreesRegressor
train,6620,Maze_89,1.5,12.0,27.0,12,182.0,130.0,136.5,0.204046444224881,ExtraTreesRegressor
train,7511,Maze_101,1.75,7.0,10.5,4,40.0,310.0,30.0,1.06295048568005,ExtraTreesRegressor
train,331,Maze_5,0.5,3.0,10.0,12,150.0,50.0,93.75,1.1232532347086,ExtraTreesRegressor
train,2071,Maze_44,0.75,2.25,3.75,4,40.0,66.6666666666667,25.0,2.39157239862788,ExtraTreesRegressor
train,6534,Maze_88,1.0,17.0,29.0,20,50.0,150.0,43.75,3.35788596869825,ExtraTreesRegressor
train,4385,Maze_92,1.0,5.0,13.0,10,155.0,130.0,116.25,0.131187238915577,ExtraTreesRegressor
train,9277,Maze_124,1.5,36.0,36.0,0,200.0,150.0,0.0,0.18024716097155,ExtraTreesRegressor
train,9223,Maze_123,2.0,6.0,6.0,0,808.0,400.0,0.0,0.0003212236221583,ExtraTreesRegressor
train,6440,Maze_86,1.0,23.0,23.0,0,250.0,100.0,0.0,0.232277606176071,ExtraTreesRegressor
train,9483,Maze_198,1.5,19.5,40.5,16,395.0,40.0,345.625,1.62967597837768,ExtraTreesRegressor
test,191,Maze_3,0.5,3.0,10.0,12,150.0,200.0,112.5,0.0457648133084559,ExtraTreesRegressor
train,7740,Maze_104,1.75,8.75,19.25,8,40.0,400.0,35.0,1.48169351976974,ExtraTreesRegressor
train,9304,Maze_125,2.0,8.0,8.0,0,40.0,130.0,0.0,2.12424244514789,ExtraTreesRegressor
train,3928,Maze_53,1.0,6.0,12.0,6,100.0,250.0,62.5,0.111083301017427,ExtraTreesRegressor
train,3531,Maze_48,0.75,7.5,30.0,26,40.0,130.0,35.0,7.7008363952204,ExtraTreesRegressor
train,8120,Maze_109,1.75,12.25,33.25,10,207.0,130.0,155.25,0.195792206823779,ExtraTreesRegressor
train,8844,Maze_118,1.5,13.5,40.5,16,250.0,150.0,218.75,0.126289628294998,ExtraTreesRegressor
train,8853,Maze_185,1.5,13.5,19.5,6,217.5,303.33333333333303,190.3125,0.018951753030216,ExtraTreesRegressor
train,1912,Maze_26,0.75,2.25,2.25,0,174.0,220.0,0.0,0.0067177131293228,ExtraTreesRegressor
test,1,Maze_1,0.5,1.5,1.5,0,40.0,40.0,0.0,2.52922843035455,ExtraTreesRegressor
train,842,Maze_18,0.5,9.5,30.5,36,145.0,40.0,108.75,6.09320151820765,ExtraTreesRegressor
train,2394,Maze_32,0.5,12.5,38.5,46,250.0,150.0,218.75,0.115593645734074,ExtraTreesRegressor
train,7811,Maze_163,1.5,4.5,4.5,0,395.0,790.0,0.0,0.0002411316003846,ExtraTreesRegressor
train,5347,Maze_72,1.0,10.0,42.0,26,132.0,220.0,82.5,0.225240188542336,ExtraTreesRegressor
train,9011,Maze_188,1.5,13.5,19.5,6,395.0,790.0,296.25,0.0010382969607607,ExtraTreesRegressor
train,4207,Maze_57,1.0,5.0,5.0,0,40.0,220.0,0.0,0.732238148343284,ExtraTreesRegressor
train,5981,Maze_80,1.5,7.5,13.5,6,466.0,310.0,349.5,0.0028561220429813,ExtraTreesRegressor
train,18,Maze_1,0.5,3.0,8.0,12,100.0,50.0,87.5,1.56755345280813,ExtraTreesRegressor
train,1693,Maze_63,1.0,16.0,64.0,36,346.666666666667,40.0,216.666666666667,3.74244215596142,ExtraTreesRegressor
train,8363,Maze_112,1.75,14.0,21.0,6,374.0,220.0,280.5,0.0141710281542246,ExtraTreesRegressor
train,629,Maze_24,0.5,20.0,76.0,88,40.0,400.0,30.0,5.96230537853179,ExtraTreesRegressor
train,1339,Maze_50,1.0,10.0,44.0,22,193.333333333333,400.0,120.833333333333,0.037451841185675,ExtraTreesRegressor
train,10244,Maze_137,2.0,16.0,48.0,16,424.0,400.0,318.0,0.0067510266684475,ExtraTreesRegressor
train,1422,Maze_30,0.5,15.5,70.5,86,145.0,123.333333333333,126.87499999999999,0.846977066570212,ExtraTreesRegressor
train,428,Maze_6,0.5,4.5,12.5,16,200.0,150.0,150.0,0.0565927145231896,ExtraTreesRegressor
train,4970,Maze_67,1.0,9.0,17.0,6,132.0,130.0,99.0,0.228815632612229,ExtraTreesRegressor
train,134,Maze_3,0.5,1.5,2.5,4,197.5,40.0,148.125,0.364198129299996,ExtraTreesRegressor
train,9025,Maze_121,1.5,13.5,43.5,16,100.0,200.0,62.5,0.543961019291017,ExtraTreesRegressor
train,645,Maze_24,0.5,20.0,76.0,88,180.0,220.0,157.5,0.190980893372541,ExtraTreesRegressor
train,3844,Maze_52,1.0,4.0,6.0,4,132.0,130.0,82.5,0.0825066099867053,DecisionTreeRegressor
train,9632,Maze_129,1.5,16.5,55.5,22,150.0,50.0,112.5,5.24736560977129,ExtraTreesRegressor
test,1210,Maze_45,0.75,19.5,63.0,54,263.333333333333,220.0,164.583333333333,0.0756992715218261,DecisionTreeRegressor
train,5825,Maze_122,1.25,3.75,3.75,0,186.25,150.83333333333297,0.0,0.0212408299992296,ExtraTreesRegressor
train,1662,Maze_23,0.5,5.0,19.0,18,40.0,310.0,35.0,1.92387986906051,ExtraTreesRegressor
train,1348,Maze_50,1.0,10.0,44.0,22,346.666666666667,400.0,216.666666666667,0.0092953529348373,ExtraTreesRegressor
train,2248,Maze_84,1.25,13.75,31.25,20,40.0,400.0,25.0,2.40798444297381,ExtraTreesRegressor
train,4063,Maze_55,1.0,5.0,13.0,8,40.0,400.0,25.0,1.00586119135004,ExtraTreesRegressor
train,416,Maze_16,0.5,16.0,84.0,104,110.0,40.0,82.5,23.264614400731,ExtraTreesRegressor
train,4548,Maze_61,1.0,7.0,17.0,10,316.0,40.0,276.5,1.11868962577613,ExtraTreesRegressor
train,4950,Maze_104,1.0,11.0,23.0,18,40.0,53.3333333333333,35.0,20.6287037685643,ExtraTreesRegressor
train,1005,Maze_21,0.5,11.5,52.5,68,197.5,276.666666666667,172.8125,0.0703724582443925,ExtraTreesRegressor
